data,nazwa_operacji
2021-07-15,piąta
2021-07-13,trzecia
2021-07-11,pierwsza
2021-07-12,druga
2021-07-17,ZK 993/2016 -> plik został wysłany na serwer
2021-07-18,ZK 992/2016 -> plik został wysłany na serwer
2021-07-18,ZK 947/2016 -> plik został wysłany na serwer
2021-07-18,ZK 991/2016 -> plik został wysłany na serwer
2021-07-18,993 - usunięte z serwera
2021-07-18,ZK 993/2016 -> plik został wysłany na serwer
2021-07-18,ZK 992/2016 -> plik został wysłany na serwer
2021-07-18,ZK 985/2016 -> plik został wysłany na serwer
2021-07-18,ZK 987/2016 -> plik został wysłany na serwer
2021-07-18,ZK 991/2016 -> plik został wysłany na serwer
2021-07-18,ZK 994/2016 -> plik został wysłany na serwer
2021-07-18,994 - usunięte z serwera
2021-07-18,993 - usunięte z serwera
2021-07-18,ZK 990/2016 -> plik został wysłany na serwer
2021-07-18,ZK 990/2016 -> plik został wysłany na serwer
2021-07-18,ZK 990/2016 -> plik został wysłany na serwer
2021-07-18,ZK 990/2016 -> plik został wysłany na serwer
2021-07-18,ZK 990/2016 -> plik został wysłany na serwer
2021-07-18,ZK 990/2016 -> plik został wysłany na serwer
2021-07-18,993 - usunięte z serwera
2021-07-18,ZK 991/2016 -> plik został wysłany na serwer
2021-07-18,990 - usunięte z serwera
2021-07-19,ZK 965/2021 -> plik został wysłany na serwer
2021-07-19,965 - usunięte z serwera
2021-07-19,ZK 958/2021 -> plik został wysłany na serwer
2021-07-19,958 - usunięte z serwera
2021-07-19,ZK 965/2021 -> plik został wysłany na serwer
2021-07-19,2021 - usunięte z serwera
2021-07-19,2021 - usunięte z serwera
2021-07-19,2021 - usunięte z serwera
2021-07-19,2021 - usunięte z serwera
2021-07-19,2021 - usunięte z serwera
2021-07-19,2021 - usunięte z serwera
2021-07-19,ZK 928/2021 -> plik został wysłany na serwer
2021-07-19,ZK 957/2021 -> plik został wysłany na serwer
2021-07-19,ZK 966/2021 -> plik został wysłany na serwer
2021-07-19,ZK 964/2021 -> plik został wysłany na serwer
2021-07-19,ZK 965/2021 -> plik został wysłany na serwer
2021-07-19,ZK 965/2021 -> plik został wysłany na serwer
2021-07-19,ZK 965/2021 -> plik został wysłany na serwer
2021-07-19,ZK 965/2021 -> plik został wysłany na serwer
2021-07-19,ZK 965/2021 -> plik został wysłany na serwer
2021-07-19,ZK 965/2021 -> plik został wysłany na serwer
2021-07-19,965 - usunięte z serwera
2021-07-19,ZK 965/2021 -> plik został wysłany na serwer
2021-07-19,966 - usunięte z serwera
2021-07-19,965 - usunięte z serwera
2021-07-19,ZK 951/2021 -> plik został wysłany na serwer
